Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1770733699476,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.25365447998047,66.99198913574219,72.52471923828125,72.73192596435547,73.47217559814453,72.84872436523438,68.1970443725586,69.54725646972656,69.28404235839844,68.88179779052734,42.85714340209961,70,80,76.19047546386719,72.22222137451172,65,52.6315803527832,40,21.052631378173828,5,22.80152702331543,17179869184,12884901888,13571473408,11823415296
201,1770733699676,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.25365447998047,66.99198913574219,72.52471923828125,72.73192596435547,73.47217559814453,72.84872436523438,68.1970443725586,69.54725646972656,69.28404235839844,68.88179779052734,57.894737243652344,68.42105102539063,78.94737243652344,73.68421173095703,75,68.42105102539063,55,45,25,10.526315689086914,23.793781280517578,17179869184,12884901888,13579665408,11823415296
201,1770733699878,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.25365447998047,66.99198913574219,72.52471923828125,72.73192596435547,73.47217559814453,72.84872436523438,68.1970443725586,69.54725646972656,69.28404235839844,68.88179779052734,55,61.904762268066406,75,75,68.42105102539063,65,50,45,20,19.047618865966797,23.793781280517578,17179869184,12884901888,13581877248,11823415296
203,1770733700079,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.97803497314453,67.004150390625,72.48389434814453,72.58726501464844,73.39031982421875,72.63795471191406,67.85005187988281,69.48756408691406,68.61754608154297,68.20832824707031,60.000003814697266,60.000003814697266,78.94737243652344,75,75,70,52.6315803527832,36.842105865478516,20,5,23.793781280517578,17179869184,12884901888,13581877248,11823415296
200,1770733700283,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.97803497314453,67.004150390625,72.48389434814453,72.58726501464844,73.39031982421875,72.63795471191406,67.85005187988281,69.48756408691406,68.61754608154297,68.20832824707031,76.19047546386719,57.142860412597656,76.19047546386719,73.68421173095703,70,68.42105102539063,61.904762268066406,42.85714340209961,25,10.526315689086914,23.793781280517578,17179869184,12884901888,13602684928,11823415296
200,1770733700484,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.97803497314453,67.004150390625,72.48389434814453,72.58726501464844,73.39031982421875,72.63795471191406,67.85005187988281,69.48756408691406,68.61754608154297,68.20832824707031,75,70,73.68421173095703,75,70,65,50,36.842105865478516,25,5,23.793781280517578,17179869184,12884901888,13591216128,11823415296
202,1770733700685,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.97803497314453,67.004150390625,72.48389434814453,72.58726501464844,73.39031982421875,72.63795471191406,67.85005187988281,69.48756408691406,68.61754608154297,68.20832824707031,89.47368621826172,89.47368621826172,80,78.94737243652344,75,70,57.142860412597656,47.619049072265625,31.57894515991211,19.047618865966797,23.77862548828125,17179869184,12884901888,13702119424,11823415296
202,1770733700887,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.97803497314453,67.004150390625,72.48389434814453,72.58726501464844,73.39031982421875,72.63795471191406,67.85005187988281,69.48756408691406,68.61754608154297,68.20832824707031,61.904762268066406,60.000003814697266,78.94737243652344,75,70,65,52.6315803527832,45,23.809524536132813,10.526315689086914,23.77862548828125,17179869184,12884901888,13683621888,11823415296
201,1770733701089,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.1388168334961,67.05400848388672,72.32048797607422,72.31109619140625,73.38471984863281,72.69859313964844,67.92608642578125,69.42469787597656,68.94731140136719,68.44441223144531,70,57.142860412597656,76.19047546386719,75,72.22222137451172,68.42105102539063,55,33.333335876464844,21.052631378173828,5,23.77862548828125,17179869184,12884901888,13684064256,11823415296
203,1770733701291,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.1388168334961,67.05400848388672,72.32048797607422,72.31109619140625,73.38471984863281,72.69859313964844,67.92608642578125,69.42469787597656,68.94731140136719,68.44441223144531,33.333335876464844,30.000001907348633,78.94737243652344,73.68421173095703,71.42857360839844,68.42105102539063,55,38.095237731933594,28.571430206298828,10,23.77862548828125,17179869184,12884901888,13662748672,11823415296
203,1770733701494,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.1388168334961,67.05400848388672,72.32048797607422,72.31109619140625,73.38471984863281,72.69859313964844,67.92608642578125,69.42469787597656,68.94731140136719,68.44441223144531,26.3157901763916,30.000001907348633,75,76.19047546386719,75,66.66667175292969,55,40,36.842105865478516,20,23.77862548828125,17179869184,12884901888,13665042432,11823415296
200,1770733701697,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.1388168334961,67.05400848388672,72.32048797607422,72.31109619140625,73.38471984863281,72.69859313964844,67.92608642578125,69.42469787597656,68.94731140136719,68.44441223144531,50,45,75,73.68421173095703,70,66.66667175292969,52.6315803527832,36.842105865478516,30.000001907348633,9.523809432983398,23.764448165893555,17179869184,12884901888,13665910784,11823415296
204,1770733701898,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.1388168334961,67.05400848388672,72.32048797607422,72.31109619140625,73.38471984863281,72.69859313964844,67.92608642578125,69.42469787597656,68.94731140136719,68.44441223144531,38.095237731933594,26.3157901763916,78.94737243652344,73.68421173095703,70,65,57.142860412597656,40,20,10,23.764448165893555,17179869184,12884901888,13643808768,11823415296
200,1770733702103,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.85367584228516,66.95999908447266,72.38709259033203,71.9863052368164,73.41336822509766,72.57667541503906,67.62213897705078,69.3305435180664,68.66767883300781,68.36310577392578,0,9.090909004211426,76.19047546386719,76.19047546386719,73.68421173095703,70,52.6315803527832,42.85714340209961,20,5,23.764448165893555,17179869184,12884901888,13640286208,11823415296
200,1770733702304,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.85367584228516,66.95999908447266,72.38709259033203,71.9863052368164,73.41336822509766,72.57667541503906,67.62213897705078,69.3305435180664,68.66767883300781,68.36310577392578,65,84.21052551269531,78.94737243652344,70,73.68421173095703,63.15789031982422,55,45,28.571430206298828,5,23.764448165893555,17179869184,12884901888,13647642624,11823415296
203,1770733702504,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.85367584228516,66.95999908447266,72.38709259033203,71.9863052368164,73.41336822509766,72.57667541503906,67.62213897705078,69.3305435180664,68.66767883300781,68.36310577392578,18.18181800842285,14.285715103149414,75,73.68421173095703,75,65,60.000003814697266,38.88888931274414,26.3157901763916,10,23.764448165893555,17179869184,12884901888,13651296256,11823415296
