Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1770733639631,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.54613494873047,72.22435760498047,75.93414306640625,75.89511108398438,77.82263946533203,78.2392349243164,73.49444580078125,75.24588012695313,77.42440032958984,77.5905532836914,100,100,100,100,100,100,100,100,100,100,25.41643524169922,17179869184,12884901888,13491404800,11890524160
201,1770733639834,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.54613494873047,72.22435760498047,75.93414306640625,75.89511108398438,77.82263946533203,78.2392349243164,73.49444580078125,75.24588012695313,77.42440032958984,77.5905532836914,100,100,100,100,100,100,100,100,100,100,25.41643524169922,17179869184,12884901888,13491404800,11890524160
204,1770733640036,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.54613494873047,72.22435760498047,75.93414306640625,75.89511108398438,77.82263946533203,78.2392349243164,73.49444580078125,75.24588012695313,77.42440032958984,77.5905532836914,100,100,100,100,100,100,100,100,100,100,25.41643524169922,17179869184,12884901888,13491404800,11890524160
203,1770733640241,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97209930419922,72.13973999023438,75.20257568359375,75.2058334350586,77.16742706298828,77.51725769042969,72.96757507324219,75.05239868164063,77.3020248413086,77.2672119140625,100,100,100,100,100,100,100,100,100,100,25.41643524169922,17179869184,12884901888,13491404800,11890524160
200,1770733640445,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97209930419922,72.13973999023438,75.20257568359375,75.2058334350586,77.16742706298828,77.51725769042969,72.96757507324219,75.05239868164063,77.3020248413086,77.2672119140625,100,100,100,100,100,100,100,100,100,100,25.41643524169922,17179869184,12884901888,13495074816,11890524160
207,1770733640645,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97209930419922,72.13973999023438,75.20257568359375,75.2058334350586,77.16742706298828,77.51725769042969,72.96757507324219,75.05239868164063,77.3020248413086,77.2672119140625,100,100,100,100,100,100,100,100,100,100,25.351009368896484,17179869184,12884901888,13530120192,11890524160
204,1770733640853,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.97209930419922,72.13973999023438,75.20257568359375,75.2058334350586,77.16742706298828,77.51725769042969,72.96757507324219,75.05239868164063,77.3020248413086,77.2672119140625,100,100,100,100,100,100,100,100,100,100,25.351009368896484,17179869184,12884901888,13528612864,11890524160
201,1770733641058,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.95199584960938,71.97600555419922,75.19862365722656,75.36782836914063,77.15503692626953,77.27222442626953,72.98805236816406,75.29351806640625,77.22980499267578,77.20729064941406,100,100,100,100,100,100,100,100,100,100,25.351009368896484,17179869184,12884901888,13504970752,11890524160
200,1770733641261,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.95199584960938,71.97600555419922,75.19862365722656,75.36782836914063,77.15503692626953,77.27222442626953,72.98805236816406,75.29351806640625,77.22980499267578,77.20729064941406,100,100,100,100,100,100,100,100,100,100,25.351009368896484,17179869184,12884901888,13516603392,11890524160
201,1770733641465,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.95199584960938,71.97600555419922,75.19862365722656,75.36782836914063,77.15503692626953,77.27222442626953,72.98805236816406,75.29351806640625,77.22980499267578,77.20729064941406,100,100,100,100,100,100,100,100,100,100,25.351009368896484,17179869184,12884901888,13535264768,11890524160
